start station name,start station latitude,start station longitude,count_s20
1 Ave & E 110 St,40.7923272,-73.9383,1342
1 Ave & E 16 St [temporarily removed],40.73221853,-73.98165557,4434
1 Ave & E 18 St [temporarily removed],40.73381219,-73.98054421,4388
1 Ave & E 30 St,40.74144387,-73.97536082,3274
1 Ave & E 44 St,40.75001986,-73.96905301,2759
1 Ave & E 5 St,40.725864,-73.986389,2761
1 Ave & E 62 St,40.7612274,-73.96094022,4723
1 Ave & E 68 St,40.76500525,-73.95818491,8007
1 Ave & E 78 St,40.77140426,-73.9535166,4730
1 Ave & E 94 St,40.7817212,-73.94594,2002
1 Pl & Clinton St,40.6809591,-73.99905709,524
10 Ave & W 28 St,40.75066386,-74.00176802,2865
10 St & 2 Ave,40.671907,-73.993612,288
10 St & 5 Ave,40.6686273,-73.98700053,470
10 St & 7 Ave,40.6662078,-73.98199886,668
11 Ave & W 27 St,40.751396,-74.005226,3085
11 Ave & W 41 St,40.76030096,-73.99884222,4739
11 Ave & W 59 St,40.77149671,-73.99046034,2098
11 St & 35 Ave,40.7627442,-73.9391141,128
11 St & 43 Ave,40.7519071,-73.9479119,375
12 Ave & W 125 St,40.818299,-73.960405,7032
12 Ave & W 40 St,40.76087502,-74.00277668,10109
12 Ave & W 40 St,40.761,-74.004,1
12 St & 4 Ave,40.668603,-73.9904394,651
14 St & 5 Ave,40.666287,-73.98895053,1201
14 St & 7 Ave,40.663779,-73.98396846,901
19 St & 24 Ave,40.7774552,-73.9225403,1052
2 Ave & 36 St,40.65708867,-74.00870204,1068
2 Ave & E 104 St,40.7892105,-73.94370784,1254
2 Ave & E 122 St,40.8006721,-73.9349,706
2 Ave & E 125 St,40.802554,-73.933509,483
2 Ave & E 31 St,40.74290902,-73.97706058,4737
2 Ave & E 72 St,40.76876203,-73.95840794,3175
2 Ave & E 96 St,40.7839636,-73.9471673,2429
2 Ave & E 99 St,40.7862586,-73.94552579,1001
21 St & 31 Dr,40.7659,-73.930819,700
21 St & 36 Ave,40.7601853,-73.9362726,383
21 St & 38 Ave,40.7576314,-73.9391224,205
21 St & 43 Ave,40.75052534,-73.94594845,294
21 St & Hoyt Ave S,40.774645,-73.923706,1026
21 St & Queens Plaza North,40.75325964,-73.94335788,434
23 Ave & 27 St,40.776165,-73.9153175,356
