start_station_name,start_lat,start_lng,count_s21
1 Ave & E 110 St,40.792327,-73.9383,2035
1 Ave & E 16 St,40.732218,-73.981655,7126
1 Ave & E 16 St,40.732219,-73.981656,40
1 Ave & E 18 St,40.733812,-73.980544,6006
1 Ave & E 30 St,40.741443,-73.97536,5023
1 Ave & E 30 St,40.741444,-73.975361,33
1 Ave & E 39 St,40.74714,-73.97113,7136
1 Ave & E 44 St,40.750019,-73.969053,2810
1 Ave & E 44 St,40.75002,-73.969053,42
1 Ave & E 6 St,40.72633,-73.986168,5686
1 Ave & E 6 St,40.726331,-73.986169,54
1 Ave & E 62 St,40.761227,-73.96094,6648
1 Ave & E 68 St,40.765005,-73.958185,37
1 Ave & E 68 St,40.765005,-73.958184,11103
1 Ave & E 78 St,40.771404,-73.953517,48
1 Ave & E 78 St,40.771404,-73.953516,7021
1 Ave & E 94 St,40.781721,-73.94594,2622
1 Pl & Clinton St,40.680959,-73.999057,1316
1 St & 6 Ave,40.672784,-73.979826,780
10 Ave & W 14 St,40.741981,-74.008315,7026
10 Ave & W 14 St,40.741982,-74.008316,371
10 Ave & W 202 St,40.861281,-73.921417,132
10 Ave & W 202 St,40.861282,-73.921418,8
10 Ave & W 204 St,40.862638,-73.92006,102
10 Ave & W 207 St,40.864632,-73.918598,299
10 Ave & W 215 St,40.869324,-73.915197,144
10 Ave & W 215 St,40.869325,-73.915198,4
10 Ave & W 28 St,40.750663,-74.001768,7034
10 Ave & W 28 St,40.750664,-74.001768,89
10 St & 2 Ave,40.671907,-73.993612,641
10 St & 5 Ave,40.668627,-73.987001,17
10 St & 5 Ave,40.668627,-73.987,1155
10 St & 7 Ave,40.666207,-73.981998,1745
10 St & 7 Ave,40.666208,-73.981999,20
11 Ave & Prospect Ave,40.65629,-73.977335,617
11 Ave & W 27 St,40.751396,-74.005226,5533
11 Ave & W 41 St,40.7603,-73.998842,8124
11 Ave & W 41 St,40.760301,-73.998842,82
11 Ave & W 59 St,40.771496,-73.99046,4823
11 Ave & W 59 St,40.771497,-73.99046,66
11 St & 43 Ave,40.751907,-73.947912,4
11 St & 43 Ave,40.751907,-73.947911,446
12 Ave & 36 St,40.643546,-73.986418,373
12 Ave & W 125 St,40.818299,-73.960405,3058
12 Ave & W 40 St,40.760875,-74.002777,282
12 Ave & W 40 St,40.760875,-74.002776,9768
12 St & 4 Ave,40.668603,-73.990439,756
14 St & 5 Ave,40.666287,-73.988951,17
14 St & 5 Ave,40.666287,-73.98895,1341
14 St & 7 Ave,40.663779,-73.983968,1668
16th St & 4th Ave,40.666197,-73.992466,412
17 St & 5 Ave,40.663493,-73.991007,1099
18 St & 27 Ave,40.772768,-73.927436,562
19 St & 24 Ave,40.777455,-73.92254,967
19 St & 8 Ave,40.658489,-73.985543,129
2 Av & 37 St,40.656326,-74.009627,123
2 Ave & 32 St,40.659176,-74.006584,200
2 Ave & 36 St,40.657088,-74.008702,501
2 Ave & 36 St,40.657089,-74.008702,8
2 Ave & E 104 St,40.78921,-73.943707,1603
2 Ave & E 104 St,40.789211,-73.943708,15
2 Ave & E 122 St,40.800672,-73.9349,905
2 Ave & E 125 St,40.802554,-73.933509,930
2 Ave & E 29 St,40.741723,-73.978092,5179
2 Ave & E 29 St,40.741724,-73.978093,21
2 Ave & E 31 St,40.742909,-73.977061,35
2 Ave & E 31 St,40.742909,-73.97706,7126
2 Ave & E 55 St,40.75792,-73.966382,1979
2 Ave & E 72 St,40.768762,-73.958408,36
2 Ave & E 72 St,40.768762,-73.958407,5648
2 Ave & E 96 St,40.783963,-73.947167,3689
2 Ave & E 96 St,40.783964,-73.947167,22
2 Ave & E 99 St,40.786258,-73.945525,1375
2 Ave & E 99 St,40.786259,-73.945526,12
20 Ave & 21 St,40.784003,-73.912297,185
20 Ave & 33 St,40.779399,-73.905708,238
20 Ave & 38 St,40.777112,-73.902382,729
20 Ave & 42 St,40.775415,-73.900063,171
20 Ave & 48 St,40.772899,-73.896849,106
20 Ave & Shore Blvd,40.785994,-73.915098,132
21 Ave & 80 St,40.770888,-73.889914,73
21 Ave & Crescent St,40.780478,-73.912212,581
21 Ave & Shore Blvd,40.783956,-73.916894,341
21 St & 21 Ave,40.782465,-73.914527,388
21 St & 23 Ave,40.778557,-73.919046,328
21 St & 31 Dr,40.7659,-73.930819,893
21 St & 36 Ave,40.760185,-73.936272,520
21 St & 38 Ave,40.757631,-73.939122,223
21 St & 4 Ave,40.662584,-73.995554,597
21 St & 43 Ave,40.750525,-73.945948,451
21 St & Hoyt Ave S,40.774645,-73.923706,1171
21 St & Queens Plaza North,40.753259,-73.943357,1009
21 St & Queens Plaza North,40.75326,-73.943358,12
23 Ave & 27 St,40.776165,-73.915318,4
23 Ave & 27 St,40.776165,-73.915317,570
23 Rd & 29 St,40.77406,-73.914935,1
23 Rd & 29 St,40.77406,-73.914934,185
23 St & 3 Ave,40.662611,-73.998623,149
24 Ave & 26 St,40.774591,-73.918544,541
24 Ave & 29 St,40.7729,-73.916142,649
24 St & 38 Ave,40.756351,-73.936515,420
24 St & 41 Ave,40.752474,-73.939991,956
24 St & 5 Ave,40.659555,-73.995068,676
25 Ave & 41 St,40.767666,-73.910963,500
27 Ave & 3 St,40.77485,-73.9342,405
27 Ave & 9 St,40.773982,-73.930913,653
27 Ave & 9 St,40.773983,-73.930913,2
27 St & Hunter St,40.7485,-73.941275,1655
28 Ave & 35 St,40.7671,-73.916985,724
28 Ave & 44 St,40.764089,-73.910651,404
28 St & 36 Ave,40.757186,-73.932719,729
28 St & 41 Ave,40.751047,-73.93797,1113
29 St & 5 Ave,40.656986,-73.998194,173
3 Ave & 14 St,40.668545,-73.993332,545
3 Ave & 14 St,40.668546,-73.993333,4
3 Ave & 17 St,40.666168,-73.995549,186
3 Ave & Carroll St,40.677027,-73.9865,644
3 Ave & E 100 St,40.787721,-73.947283,881
3 Ave & E 112 St,40.795508,-73.941606,918
3 Ave & E 163 St,40.823872,-73.908699,442
3 Ave & E 169 St,40.832678,-73.905158,397
3 Ave & E 170 St,40.834857,-73.903743,234
3 Ave & E 172 St,40.839586,-73.900277,210
3 Ave & E 174 St - Bathgate Vaccination Site,40.84224,-73.8985,400
3 Ave & E 62 St,40.763125,-73.965268,3426
3 Ave & E 62 St,40.763126,-73.965269,43
3 Ave & E 71 St,40.768736,-73.961199,1854
3 Ave & E 71 St,40.768737,-73.961199,8
3 Ave & E 72 St,40.769942,-73.960607,1843
3 Ave & E 72 St,40.769943,-73.960607,14
3 Ave & Franklin Ave,40.82696,-73.907451,315
3 Ave & Schermerhorn St,40.686832,-73.979677,2639
3 Ave & Wakeman Pl,40.638246,-74.024714,439
3 St & 3 Ave,40.67507,-73.987752,1247
3 St & 3 Ave,40.675071,-73.987752,4
3 St & 7 Ave,40.670383,-73.978396,2170
3 St & 7 Ave,40.670384,-73.978397,17
3 St & Hoyt St,40.677728,-73.993641,830
3 St & Hoyt St,40.677729,-73.993641,9
3 St & Prospect Park West,40.668132,-73.973638,3832
30 Ave & 21 St,40.770374,-73.928608,3
30 Ave & 21 St,40.770374,-73.928607,548
30 Ave & 41 St,40.763422,-73.914142,576
30 Ave & 47 St,40.761294,-73.909562,314
30 St & 4 Ave,40.657743,-74.001141,357
31 Ave & 14 St,40.7682,-73.932266,528
31 Ave & 30 St,40.7647,-73.924031,1055
31 Ave & 34 St,40.763154,-73.920827,1484
31 Ave & 57 St,40.757357,-73.904726,240
31 Ave & 61 St,40.757525,-73.901614,217
31 Ave & Crescent St,40.765834,-73.926547,1121
31 Ave & Steinway St,40.761148,-73.917007,1014
31 Ave & Steinway St,40.761149,-73.917007,9
31 Rd & 21 St,40.766824,-73.930486,118
31 St & 21 Ave,40.77813,-73.90842,471
31 St & 23 Ave,40.774787,-73.912555,1337
31 St & 23 Ave,40.774788,-73.912555,19
31 St & Astoria Blvd,40.769917,-73.918405,1075
31 St & Astoria Blvd,40.769918,-73.918406,14
31 St & Broadway,40.761584,-73.925921,1812
31 St & Ditmars Blvd,40.776168,-73.910485,1079
31 St & Hoyt Ave N,40.771152,-73.917007,617
31 St & Hoyt Ave N,40.771153,-73.917007,5
31 St & Newtown Ave,40.767548,-73.920933,1779
31 St & Newtown Ave,40.767549,-73.920933,15
